a	一个 每一个
applicable	可应用的 适当的 合适的
applicant	申请者
application	申请 申请表格 应用 实施
apply	申请 应用 把…应用于
appoint	任命 委派 指定 约定时间、地点等
appointment	约定 约会 任命 委派
appreciate	感激 感谢 评价 欣赏 充分意识到
approach	接近 方法 走近 与…接洽 探讨
appropriate	恰当的 合宜的 拨给 挪用 盗用
approval	赞成 批准
approve	批准 通过 赞许 同意
approximate	大致的 近似的 接近 近似
april	四月
arbitrary	任意的 武断的 专断的 专横的
architect	建筑师 缔造者
architecture	建筑学 建筑式样 结构 构造
area	地区 面积 范围 领域
argue	辩论 争论 辩论 论证 说服 劝说
argument	辩论 争论 论点 论据
arise	出现 发生 由…引起 起源于 起来
arithmetic	算术
arm	手臂 支架 武器 武装 装备
army	军队 一大批 一大群
around	周围 在近处 大约 在…周围
arouse	唤醒 叫醒 唤起 激起
arrange	安排 整理 安排 准备
arrangement	排列 整理 安排 准备
arrest	逮捕 扣留 逮捕 扣留 阻止 吸引
arrival	到达 抵达 到达者
arrive	到来 到达 达成 得出
arrow	箭 箭状物 箭头记号
art	艺术 美术 技艺 技术 文科 艺术品
article	文章 论文 物件 物品 条款 冠词
artificial	人工的 人造的 人为的 假的
artist	艺术家 美术家 某方面的能手
artistic	艺术家的 美术家的 善于艺术创作的
as	由于 像 作为 同样地
ash	灰 灰末 骨灰 废墟
ashamed	惭愧的 羞愧的
aside	在旁边 到一边 旁白 离题的话
ask	问 请求 邀请 问 要求
asleep	睡着的 睡熟的
aspect	问题等的方面 样子 面貌
assemble	集合 装配 聚集 集会
assembly	集合 集会 会议 装配 组装
assess	估价 评价
asset	资产 财产 有价值的东西
assign	派给 分配 选定 指定时间、地点
assignment	分派 分配 作业 任务
assist	帮助 援助
assistance	帮助 援助
assistant	帮助的 辅助的 助手 辅助物
associate	使发生联系 交往 合伙的 合伙人
association	协会 社团 联合 合伙
assume	设想 假定 装出…样子 承担 接受
assumption	假定 设想 假装
assure	使确信 使放心 保证 担保
astonish	使大吃一惊
at	在…时 在…中 在…方面 向 朝
athlete	运动员
atmosphere	大气层 气氛 环境
atom	原子 微量 微粒
atomic	原子能的 关于原子的
attach	贴上 系上 附上 附属
attack	攻击 袭击 病发作
attain	达到 取得
attempt	企图 试图　尝试 试图
attend	出席 照顾 护理 注意 专心
attention	注意 留意 立正
attitude	态度 看法
attorney	律师
attract	吸引 引诱
attraction	吸引 吸引力
attractive	吸引人的 引人注意的 漂亮的 迷人的
attribute	把…归于 认为是…的结果 属性
audience	听众 观众
audio	音频的 音响的 声音的
august	八月
aunt	伯母 婶母 姑母 姨母 舅母
author	作家 著者
authority	权力 官方 当局
auto	汽车
automatic	自动的 机械的 无意识的
automobile	汽车 机动车
autumn	秋 秋季 成熟期 渐衰期
auxiliary	辅助的 备用的
available	用于物可利用的 可见到的 接受采访的
avenue	林荫道 大街 喻途径 手段　
average	平均 一般水平 平均的 一般的
avoid	避免 逃避
await	等待 等候
awake	唤醒 使觉醒 醒来 醒悟 醒着的
award	奖 奖品 授予 奖给
aware	意识到的 知道的
away	离开 远离
awful	可怕的 极坏的
awkward	尴尬的 笨拙的 使用不便的 棘手的
baby	婴儿 年龄最小的人 幼畜或雏鸟
back	背面 后部 朝后面 回去 支持?
background	背景 经历
backward	向后的 落后的 向后地 倒 逆
bacon	熏猪肉
bacteria	细菌
bad	坏的 有害的 严重的
badly	坏地 严重地 非常
bag	袋 口袋 手提包 钱包
baggage	行李
bake	烘烤 烧硬 焙干
balance	均衡 收付平衡 使保持平衡
balcony	阳台 剧院的楼座 二楼包厢
ball	球 球状物 正规的大型舞会
balloon	气球 如气球般膨胀
ban	禁止
banana	香蕉
band	乐队 带 波段　缚 捆绑
bang	猛敲 猛撞 发出砰的响声 砰地
bank	银行 库 堤 岸
bankrupt	破产的 使破产 破产者
banner	旗 旗帜 政治性的横幅标语
bar	酒吧 横木 障碍 B律师业　闩上
barber	理发师
bare	赤裸的 极少的 仅有的
barely	贫乏地 仅仅 几乎没有
bargain	讨价还价 便宜货 买卖合同 交易
bark	狗叫声 狗吠叫似的声响 吠
barn	谷仓 饲料仓 牲口棚
barrel	圆木桶 枪管
barrier	栅栏 屏障 障碍物
base	基础 底部 基地 根据地 以…为根据
baseball	棒球 棒球运动
basic	基本的 基础的
basically	基本上 根本地
basin	盆 脸盆 盆地 流域
basis	基础 基底 根据 基准
basket	筐 篮 篓
basketball	篮球运动
bat	球拍 蝙蝠 用棒击 打击球
bath	洗澡 浴缸 浴盆
bathe	洗澡 洗澡 游泳
bathroom	浴室
battery	电池组 器具等的一组 一套 炮兵连
battle	战斗 作战 战斗 作战 斗争
bay	海湾
be	是 在 就是
beach	海、河、湖滩 海滨
beam	横梁 光线 容光焕发 放光 面露喜色
bean	豆 菜豆
bear	熊 粗鲁的人 笨拙的人
beard	胡须
bearing	轴承 意义 举止
beast	四足兽类 牲畜 凶残的人
beat	打 敲 打败 打 敲 心脏等跳动
beautiful	美丽的 美好的
beauty	美丽 美女 美好的事物
because	因为
become	变成 变得
bed	床 花坛 河床
bee	蜂 蜜蜂
beef	牛肉
beer	啤酒
before	在…以前 以前 从前
beg	乞讨 乞求
beggar	乞丐
begin	开始
beginning	开始 开端 起源 起因
behalf	利益
behave	举动 表现 运转 使运转正常
behavior	行为 表现 机器等的运转情况
behaviour	行为 举止 机器的运转情况
behind	在…后面 迟于 在后 迟 慢
being	存在 生存 存在物 生物 生命 人
belief	相信 信任 信念 信仰
believe	相信 认为 相信 信任 信奉
bell	铃 门铃 钟声
belong	属于 归类于
beloved	被热爱的 爱人 心爱的人
below	在…以下 在…下面 在下 下面
belt	腰带 带状物 地带 区域
bench	凳 长凳
bend	使弯曲 使屈服
beneath	在…下面下方 紧靠着…底下
beneficial	有益的 有用的
benefit	利益 救济金 有益于 受益于
beside	在…旁边 在…附近 与…相比
besides	而且 此外 除…之外还
best	最好的 最好地 最好的人东西等
bet	打赌 赌注 打赌 赌 确信 敢说
better	较好的 更好地 较优者 改善
between	在…之间 在两者之间 在中间
beyond	在…之外 超出…范围 胜过 迟于
bible	圣经
bicycle	自行车
bid	投标 拍卖时的出价
big	大的 重要的 宽宏大量的 大受欢迎的
bike	自行车
bill	账单 支票 招贴 钞票 给 …开账单
billion	美十亿 英万亿
bind	捆, 包扎 装订 约束 使凝固 变硬
biology	生物学
bird	鸟 禽
birth	出生 诞生 出身 血统 起源 出现
birthday	生日 诞辰
biscuit	饼干
bit	一点 比特二进位制信息单位
bite	咬 叮 刺骨 叮 咬 吃一口
bitter	辛酸的 辛苦的 有苦味的 严寒的
black	黑色的 黑暗的 黑色 黑人
blackboard	黑板
blade	刀刃 刀片 桨叶 草叶 叶片
blame	责怪 把…归咎于 责备 过错
blank	空白 表格 空白的 无表情的
blanket	毛毯 毯子 覆盖 布满 弥漫
blast	炸毁 摧毁 爆炸 爆破 一阵 汽笛声
bleed	使流血 从…取血 从…抽取液体或空气
blend	掺和 混合
blind	盲的 盲从的 使变瞎
block	大块石料等 街区 阻塞物 阻拦
blood	血液 血 血统 血亲 血气
bloody	流血的 血腥的
bloom	花 花期 开花 容光焕发 显露出健康
blouse	女衬衫 童衫 罩衫
blow	打 风吹 吹动 使爆炸 响起 输
blue	蓝色的 脸色发灰的 忧郁的 蓝色
board	板 委员会 上车船 包饭
boast	夸耀 以有…而自豪
boat	小船 船形物 划船
body	身体 主体 尸体 物体 大量
boil	沸腾 煮沸
bold	勇敢无畏的 冒失的 粗体的 粗体
bolt	闪电 霹雳 插销 门闩 螺栓
bomb	炸弹 高压喷雾器 投弹 轰炸
bond	联系 约束 公债 票据 使结合 使粘
bone	骨头 骨状物
book	书本 书籍 手册 卷 册 预定票等
boom	发出隆隆声 繁荣 兴隆起来
boost	提高 增加
boot	长统靴 汽车后部放行李处 踢
border	边 边缘 边界 和…接连 近似
bore	孔 讨厌的人 钻孔 使人烦
boring	令人厌烦的 钻孔
born	出生的 天生的
borrow	借 借入 思想、文字等采用 抄袭
boss	老板 上司 指挥 对…发号施令
both	两个…都 两者都
bother	打扰 麻烦 费心 麻烦 讨厌的人
bottle	瓶子 流体容器
bottom	底 底部 臀部 末端 尽头 来源
bounce	弹起来 使弹起 弹 反弹
bound	跳 边界 弹跳 限定 开往…
boundary	分界线 边界
bow	弓 蝴蝶结 鞠躬 点头 用弓拉琴
bowl	碗 钵
box	盒子 箱子 戏院的包厢
boy	男孩 侍者 服务员
brain	大脑 心智 智力
brake	闸 刹车 制动器 刹车
branch	树枝 分枝 机构的分部 学科的分科
brand	商标 烙印 打烙印于… 铭刻
brass	黄铜 黄铜制品
brave	勇敢的 英勇的
bread	面包 食物 生计
breadth	宽度 广度
break	打破 中断 破 断裂 中断 间歇
breakfast	早饭
breast	胸脯 乳房 胸部 挺胸迎…而上
breath	气息 呼吸 风微动
breathe	呼吸
breed	种类 品种 繁殖 饲养 引起
breeze	微风
brick	砖 砖状物 方木块 块料
bride	新娘
bridge	桥 桥梁 桥牌
brief	短暂的 简洁的 摘要 概要
bright	明亮的 欢快的 聪明的 颜色鲜艳的
brilliant	很明亮的 光辉的 辉煌的 卓越的
bring	拿来 带来 产生 导致 引来 提出
broad	宽的 宽容的 粗略的 概括性的 敞开的
broadcast	广播 广播节目 用无线电或电视广播
broom	 扫帚
brother	兄弟 同胞 教友 同事
brow	眉毛 额
brown	棕色的 褐色的
brush	刷 毛刷 刷子 画笔
bubble	水泡 气泡 冒泡 沸腾
bucket	水桶
budget	预算 预算案 预算额 经费 生活费
build	建造 建筑 建设 建立 增大 增强
building	建筑物 房屋
bulb	电灯泡 球状物
bulk	容积 体积 大块 大批 大部分 大多数
bullet	子弹
bump	碰撞 颠簸 肿块 碰撞 颠簸　
bunch	一串 一束
bundle	包裹 包袱 一包 一捆 一束
burden	负担 负重 负荷 载重 义务 责任
bureau	司 局 处 社 所
burn	燃烧 烧毁 烧伤 灼伤
burst	爆炸 破裂 突然发生
bury	埋葬 掩埋 掩盖
bus	公共汽车
bush	矮树丛 灌木丛
business	生意 业务 事务 职责 企业
busy	忙的 热闹的 电话占线
but	但是 除…以外 仅仅
butcher	卖肉的人 屠夫
butter	黄油 脂样的物质
butterfly	蝴蝶 蝶形
button	钮扣 按扭 扣上扣子 扣紧
buy	买 购买 收买
by	靠近 不迟于 在近旁
cab	出租马车
cabbage	洋白菜 卷心菜
cabin	船舱 机舱 小木屋
cabinet	橱 柜子 内阁
cable	缆 电缆 电报 打电报
cage	笼子
cake	饼 糕 蛋糕 扁平的块状物
calculate	计算 推测 估计 打算 计划
calculator	计算器
calendar	日历 月历
call	叫 喊 打电话 叫 访问 叫 号召
calm	平静下来 使平静 天气等平静的
camel	骆驼
camera	照相机 摄影机 摄像机
camp	营地 野营 宿营 扎营
campaign	战役 运动 竞选运动 领导 发起运动
campus	大学校园
can	容器 听 罐头 把食品装罐
canal	运河 沟渠
cancel	取消 作废 删去 划掉
cancer	癌症 肿瘤
candidate	候选人 候补者 投考者 求职者
candle	蜡烛
candy	美糖果
cap	帽子 盖子 盖住 胜过 优于
capable	有能力的 有才能的 能做到的 有可能的
capacity	容量 容积 能力 性能
capital	首都 大写 资本 大写的 可判死刑的
captain	船长 机长 陆军上尉 海军上校
capture	捕获 俘获 夺取 占领
car	车 汽车 火车车厢
carbon	碳
card	卡 卡片 名片 纸片 纸牌 纸牌游戏
care	小心 忧虑 烦恼 照料 关心 计较
career	生涯 职业
careful	当心的 小心的 仔细的
careless	粗心的 疏忽的
cargo	船货 货物
carpenter	木工, 木匠"
carpet	地毯
carriage	车辆 车厢
carrier	运载工具 带菌者 货运商
carrot	胡萝卜
carry	运 送 搬 传播 输送
cart	手推车, 板车
cartoon	卡通片 动画片 报刊上的漫画 连环画
case	情况 事实 案例 箱 盒
cash	现金 现钱 兑换成现金
cashier	 出纳员
cassette	盒子 盒式磁带
cast	投 扔 撒网 铸造 一投 撒网
castle	城堡
casual	偶然的 临时的 非正式的 草率的
cat	猫 猫科动物
catalog	目录 对…编目
catalogue	目录 目录册
catch	抓住 赶上 听懂 引起注意 染上
category	种类 范畴
cattle	牲口总称 尤指牛
cause	原因 理由 事业 奋斗目标 引起
cautious	小心谨慎的
cave	山洞, 洞穴"
cease	停止 终止
ceiling	天花板 顶篷
celebrate	庆祝 赞扬 称颂
cell	细胞 电池 小房间 小牢房
cement	水泥
cent	分币 作单位的百
center	中心 核心 居中 使集中
centigrade	摄氏温度
centimeter	公分 厘米
centimetre	公分 厘米
central	中心的 主要的
centre	中心 中间派 活动的集中地点 集中
century	一百年 世纪
ceremony	典礼 仪式 礼节 礼仪
certain	肯定的 必然的 某一 某种
certainly	一定 必定 当然可以 行
certificate	证书 证明书
chain	链 链条 一连串 用链条拴住 束缚
chair	椅子 会议主席 大学教授 主持会议
chairman	主席 议长
chalk	白垩 粉笔
challenge	挑战 艰巨任务 向…挑战 对…表示怀疑
chamber	房间 室 会议室 议院 动物体内腔室
champion	冠军 捍卫者 捍卫 拥护
chance	机会 可能性 偶然性 碰巧 冒险试
change	改变 交换 改变 变化 交换 零钱
channel	渠道 通道 管道 海峡 频道
chaos	混乱 纷乱
chap	家伙 小伙子
chapter	章 回 篇 历史上的一段时间
character	个性 品质 特性 人物 字母 书写符号
characteristic	特有的 典型的 特色 特性
characterize	描绘…的特征 刻划…的性格
charge	装满 收费 控告 充电 收费 罪名
charity	仁慈 宽厚 慈善机关团体
charm	魅力 美貌 符咒 迷住 对…施魔法
chart	图 图表 航线图
charter	宪章 特许权 特许 发执照给… 租
chase	追逐 追赶
chat	聊天 闲谈
cheap	便宜的 劣质的 虚伪的 便宜地
cheat	欺骗 诈取 作弊 欺骗行为 骗子
check	检查 阻止 检查 阻止 支票 帐单
cheek	面颊 脸蛋 无耻的行为 粗鲁地向…讲
cheer	使高兴 欢呼 欢呼 喝彩 振奋
cheerful	高兴的 使人愉快振奋的
cheese	乳酪 干酪
chemical	化学的 化学制品
chemist	化学家 英药剂师
chemistry	化学
cheque	支票=[美作:]
chess	象棋 国际象棋
chest	箱子 柜子 胸膛 胸腔
chew	咀嚼
chicken	小鸡 鸡肉
chief	元首 主要的 首席的
child	儿童 孩子
childhood	童年
chill	寒气 寒冷 使寒冷 使冷冻
chimney	烟囱 烟道
chin	下巴 颏
china	瓷器
chip	片屑 缺口 马铃薯片 弄出缺口
chocolate	巧克力糖 深褐色的
choice	选择 抉择 选择权 供选择的东西
choke	窒息 阻塞 抑制
choose	挑选 选择 愿意 决定
chop	排骨 肉块 砍击 砍 劈 斩
christ	耶稣 基督
christian	基督教教徒　基督教的 具有基督的精神
christmas	圣诞节
church	教堂 C-教会
cigar	雪茄烟 叶卷烟
cinema	电影院 影片 电影
circle	圆 圈子 周期 环绕 围绕…画圈
circuit	线路 电路 一圈 周线 巡回 巡行
circular	圆形的 循环的 传单 报单 通知
circulate	使循环 使流通 使传播
circumstance	情况 境况
cite	引用 引证 传讯
citizen	公民 市民 居民
city	城市 都市
civil	国民的 国内的 文明的 文职的 民用的
civilian	市民 老百姓 平民的 民用的
civilisation	文明 文化 开化 教化
civilise	使文明 使开化
civilization	文明 文化 开化 教化
civilize	使文明 使开化
claim	权力 要求 主张 声明 要求 索取
clap	拍 拍手喝彩 掌声 劈雳声
clarify	澄清 阐明 使明晰
clash	发出铿锵声 意见等冲突 铿锵声
class	班级 阶级 一堂课 门类
classic	传统的 最优秀的 杰作 名著
classical	古典文学的 经典的 人文科学的 文科的
classification	分类 分级
classify	分类 分等级
classmate	同班同学
classroom	教室 课堂
clause	条款 款项 分句 从句
claw	爪
clay	粘土 泥土
clean	干净的 清洁的 擦干净 把…弄干净
clear	光亮的 条理清楚的 清除 使明白
clerk	职员 店员 办事员 法庭中的书记
clever	聪明的, 灵巧的"
click	一击 咔哒声 发出咔哒声
client	委托人 当事人 顾客
cliff	悬崖 峭壁
climate	气候
climb	攀登 爬 攀登 爬 攀登的地方
clinic	诊所
clock	钟
close	关 结束 距离近的 接近 结束
cloth	布 织物 衣料
clothes	衣服
clothing	衣服总称
cloud	云 一缕 一群 阴影
cloudy	多云的 阴天的 似云的 模糊不清的
club	俱乐部 棍棒 球棒 用棍棒打
clue	线索 提示
clumsy	笨拙的
coach	教练 火车客车车厢 训练 辅导
coal	煤 煤块
coarse	粗糙的 粗劣的
coast	海岸 海滨
coat	上衣 外套 涂层 动物的毛皮 涂上
cock	公鸡 龙头 枪板机 竖起
code	法规 代码 把…译成电码 把…编成号
coffee	咖啡 咖啡色
coil	卷 盘绕 一卷 圈 圈线
coin	硬币 钱币 杜撰新词等 铸造
cold	寒冷的 冷淡的 伤风 感冒 寒冷
collapse	使倒塌 使崩溃
collar	衣领
colleague	同事 同僚
collect	收 收集 聚集 堆积
collection	收集 搜集 采集 收藏品
collective	集体的 共同的 集体 全体人员
college	大学 学院
collision	碰撞 冲突
colony	殖民地 同类人的聚居地
color	颜色 颜料 脸色 肤色 给…着色
colour	颜色 颜料 脸色 肤色 给…着色
column	柱 柱状物 专栏文章 直行
comb	梳 梳理 梳子
combat	与…战斗 搏斗 战斗 斗争 搏斗
combination	联合 合并 化合 化合物
combine	结合 联合 化合 集团 联合收割机
come	来 到来 出现 成为 是
comedy	喜剧 喜剧场面
comfort	使安慰 使舒服 安慰 舒适 安逸
comfortable	舒适的 舒服的
command	命令 吩咐 控制 管辖 掌握
commander	指挥官 司令官 海军中校
comment	评论 评论 意见
commerce	商业 贸易
commercial	商业的 可获利的 广告节目
commission	委托 授权 委员会 拥金 回扣 委任状
commit	犯错误 罪行等 把…托付给 提交
commitment	承担义务 许诺
committee	委员会
common	普通的 寻常的 共有的 公共的
communicate	交际 交流思想等 传达 传送 通讯
communication	通讯 交流 传达 通信系统
communism	共产主义 共产党政体
communist	共产主义者 共产党员 共产主义的
community	社区 市民大众 共有 共同性
companion	同事 同伙 同伴 伴侣
company	公司 商社 陪伴 伴随 交往 一伙
comparable	可比较的 比得上的
comparative	比较的 形容词或副词的比较级
compare	比较 对照 比作 比喻
comparison	比较 对照 比喻
compass	指南针
compel	强迫 迫使
compete	竞争 竞赛
competent	有能力的 能胜任的 足够的
competition	比赛 竞赛
competitive	竞争的 比赛的
complain	抱怨 拆苦 投诉
complaint	抱怨 诉苦 发牢骚
complete	完整的 已完成的 彻底的 完成 结束
complex	复合的 复杂的 综合企业 复合体
complicated	复杂的
component	尤指机器或系统的组成部分 构成的
compose	构成 组成 创作乐曲、文学作品等
composition	构成 成分 作文 作曲 音乐等作品
compound	化合物 混合物 复合的 合成的
comprehension	理解 理解力 领悟
comprehensive	广泛的 综合的
compress	压缩 紧缩
comprise	包含 由…构成 构成 组成
compromise	妥协 折衷方案 妥协 危及 连累
computer	计算机 电脑
comrade	同志 朋友 同事
conceal	隐藏 隐瞒
concede	承认 给予 割让
concentrate	聚中 浓缩 浓缩物
concentration	专注 专心 集中 浓缩
concept	概念 观念
concern	所关切的事 关心 与…有关 使担心
concerning	关于
concert	音乐会 演奏会 一致
concession	让步 妥协
conclude	结束 下结论 推论 缔结 议定
conclusion	结论 推论 结尾 结束语
concrete	混凝土 具体物 混凝土制的 具体的
condemn	遣责 判刑 宣告有罪
condense	压缩 浓缩 精简
condition	条件 状态 状况 环境 形势
conduct	行为 表现 品行 引导 处理 传导
conductor	售票员 列车员 乐队的指挥 导体
conference	正式会议 讨论会
confess	坦白 供认 承认
confidence	信心 信任
confident	确信的 自信的
confine	限制 使局限于 使闭门不出 禁闭
confirm	证实 进一步确定 批准 使坚固
conflict	斗争 冲突 斗争 战斗 抵触 冲突
confront	使面临 使遭遇 使对质 面对危险等
confuse	使混乱 使困惑 混淆 混同
confusion	混淆 混乱 困惑 糊涂
congratulate	祝贺 恭贺 向…道贺
congratulation	祝贺 祝贺词
congress	代表大会 美国国会 议会
conjunction	联合 连接 接合 连接词
connect	连接 与…联系 连接 相通
connection	连接 联络工具 亲属、社会上的关系
connexion	 连接,团体,连贯性客户,亲戚
conquer	征服 占领 克服 改正恶习等
conquest	攻取 征服
conscience	良心 道德心
conscious	有意识的 意识到的 神志清醒的 有意的
consent	同意 赞成 同意 赞成
consequence	结果 后果
consequently	所以 因此
conservation	保存 ??守恒
conservative	保守的 小心谨慎的 防腐的 保守的人
consider	认为 把…看作 考虑 考虑 细想
considerable	值得考虑的 相当大、多的
considerate	 体谅的
consideration	考虑 需考虑到的事 体谅 关心
consist	存在于 由…组成 构成 包括
consistent	一致的 符合的 坚持的 相容的
constant	固定不变的 经常发生的 不变的事物
constitute	构成 制定
constitution	法规 宪法 章程 组织 构造 体质
construct	建设 建造 创立
construction	建造 构造 建筑物 结构 释义 解释
consult	请教 向…咨询 查阅 就诊 商议
consultant	顾问 专家 医院的高级专科顾问医生
consume	消费 花费 毁灭 耗尽 消费掉
consumer	用户 消费者
consumption	消费 消耗 消费额 消耗量 肺病
contact	接触 联络员 带菌者 接触 联系
contain	包含 含有 克制 抑制
container	容器 集装箱
contemporary	当代的 同龄的 同代人 同龄人
content	目录 满足 满足的 使满足
contest	竞争 比赛 竞争 比赛 争论 争辩
context	上下文 事情等的前后关系 情况
continent	不停的 频频的
continual	不断的 频繁的
continue	持续 继续
continuous	连续的 不间断的
contract	契约 合同 订约 使收缩
contradiction	矛盾 反驳
contrary	相反的 相反的事物 对立面
contrast	对照 对比 对立面 反差 使对照
contribute	捐献 贡献 捐款 投稿 起一份作用
contribution	贡献 捐献 捐献物 投稿
control	控制 抑制 支配
controversial	引起争论的 有争议的
controversy	争论 争议
convenience	方便 便利 有益的工具 便利设备 公厕
convenient	方便的
convention	会议 大会 惯例 习俗 公约 协定
conventional	普通的 常见的 习惯的 常规的
conversation	会话 谈话
conversely	 1 相反地
convert	使转变转化 改变信仰 皈依者
convey	传达 表达 传送 运输
convict	证明…有罪 使…知罪 罪犯
conviction	确信 信服 坚信 坚定的信念
convince	使确信 使相信
cook	煮 烧食物 做饭 厨师
